date,open,high,low,close,volume
2023-04-13 04:15:00+00:00,30057.2,30070.0,30029.6,30060.8,1563.938
2023-04-13 04:30:00+00:00,30060.8,30089.5,30047.2,30077.4,1294.678
2023-04-13 04:45:00+00:00,30077.0,30097.0,30033.5,30045.9,1933.793
2023-04-13 05:00:00+00:00,30046.0,30065.7,30031.5,30038.7,1055.751
2023-04-13 05:15:00+00:00,30038.7,30067.0,30025.4,30025.5,1019.455
2023-04-13 05:30:00+00:00,30025.5,30069.4,30025.4,30065.0,1247.79
2023-04-13 05:45:00+00:00,30065.0,30080.3,30051.0,30070.8,1192.807
2023-04-13 06:00:00+00:00,30070.7,30120.0,30057.6,30091.2,2444.8230000000003
2023-04-13 06:15:00+00:00,30091.2,30107.1,30051.2,30066.9,2309.219
2023-04-13 06:30:00+00:00,30066.9,30080.3,30033.5,30059.8,1324.918
2023-04-13 06:45:00+00:00,30059.9,30080.0,30030.5,30039.9,1638.058
2023-04-13 07:00:00+00:00,30040.0,30040.0,29980.1,30000.3,4251.435
2023-04-13 07:15:00+00:00,30000.3,30048.0,29989.0,30048.0,2061.014
2023-04-13 07:30:00+00:00,30048.0,30059.0,30014.2,30047.0,1477.611
2023-04-13 07:45:00+00:00,30047.0,30060.0,30017.4,30046.6,1332.51
2023-04-13 08:00:00+00:00,30046.7,30093.7,30046.6,30054.1,2714.515
2023-04-13 08:15:00+00:00,30054.0,30071.8,30030.4,30033.0,2055.045
2023-04-13 08:30:00+00:00,30032.9,30064.6,30025.7,30058.5,1369.085
2023-04-13 08:45:00+00:00,30058.5,30160.0,30041.6,30091.7,10597.582
2023-04-13 09:00:00+00:00,30091.7,30267.7,30039.8,30179.0,17738.933
2023-04-13 09:15:00+00:00,30179.0,30313.6,30163.7,30284.2,13332.399
2023-04-13 09:30:00+00:00,30284.3,30369.0,30233.3,30233.8,14029.667
2023-04-13 09:45:00+00:00,30233.8,30256.8,30134.2,30167.3,10289.139
2023-04-13 10:00:00+00:00,30167.3,30204.1,30140.0,30192.7,3379.238
2023-04-13 10:15:00+00:00,30192.6,30206.8,30155.9,30155.9,2432.848
2023-04-13 10:30:00+00:00,30155.8,30197.3,30134.4,30190.3,2916.099
2023-04-13 10:45:00+00:00,30190.3,30229.1,30179.0,30188.6,2465.252
2023-04-13 11:00:00+00:00,30188.7,30235.7,30188.6,30191.0,2009.111
2023-04-13 11:15:00+00:00,30191.0,30230.7,30173.4,30176.0,3614.833
2023-04-13 11:30:00+00:00,30176.0,30207.8,30155.8,30190.8,2582.177
2023-04-13 11:45:00+00:00,30190.8,30192.3,30158.8,30183.0,1429.13
2023-04-13 12:00:00+00:00,30183.0,30192.9,30140.2,30149.2,1798.399
2023-04-13 12:15:00+00:00,30149.1,30184.8,30145.0,30161.2,1922.88
2023-04-13 12:30:00+00:00,30161.3,30240.0,30161.2,30174.6,4926.331
2023-04-13 12:45:00+00:00,30174.6,30250.0,30116.5,30199.3,10521.659
2023-04-13 13:00:00+00:00,30199.2,30300.0,30195.3,30259.0,8478.971000000001
2023-04-13 13:15:00+00:00,30258.9,30329.3,30228.1,30228.2,9778.574
2023-04-13 13:30:00+00:00,30228.1,30249.7,30190.0,30243.1,5558.693
2023-04-13 13:45:00+00:00,30243.2,30249.1,30170.0,30196.0,4694.432
2023-04-13 14:00:00+00:00,30195.9,30234.4,30150.0,30164.3,4753.983
2023-04-13 14:15:00+00:00,30164.3,30210.0,30157.1,30206.3,3180.995
2023-04-13 14:30:00+00:00,30206.4,30300.0,30200.0,30290.0,4942.501
2023-04-13 14:45:00+00:00,30290.1,30438.0,30271.4,30375.0,21392.807
2023-04-13 15:00:00+00:00,30375.0,30555.9,30371.9,30428.3,21884.785
2023-04-13 15:15:00+00:00,30428.3,30648.9,30294.5,30332.1,27359.311
2023-04-13 15:30:00+00:00,30332.0,30400.0,30285.5,30395.1,8194.809
2023-04-13 15:45:00+00:00,30395.2,30450.0,30352.4,30381.0,5437.7
2023-04-13 16:00:00+00:00,30381.0,30449.4,30375.1,30422.5,4306.9130000000005
2023-04-13 16:15:00+00:00,30422.6,30465.7,30327.0,30343.0,8848.705
2023-04-13 16:30:00+00:00,30343.0,30357.9,30318.0,30344.0,3336.373
2023-04-13 16:45:00+00:00,30344.1,30370.8,30301.2,30301.2,3330.112
2023-04-13 17:00:00+00:00,30301.3,30319.9,30242.1,30312.7,7548.406
2023-04-13 17:15:00+00:00,30312.7,30380.4,30266.5,30365.0,6126.478999999999
2023-04-13 17:30:00+00:00,30365.0,30385.9,30333.5,30347.6,3397.103
2023-04-13 17:45:00+00:00,30347.6,30359.1,30317.5,30359.1,2614.611
2023-04-13 18:00:00+00:00,30359.0,30433.5,30359.0,30419.9,5398.052
2023-04-13 18:15:00+00:00,30419.9,30520.0,30398.0,30478.8,8473.068
2023-04-13 18:30:00+00:00,30478.9,30539.7,30415.4,30420.1,5158.415
2023-04-13 18:45:00+00:00,30420.1,30455.8,30412.0,30427.0,2325.844
2023-04-13 19:00:00+00:00,30427.0,30464.5,30426.2,30427.5,2121.48
2023-04-13 19:15:00+00:00,30427.4,30427.5,30312.6,30375.5,8985.016
2023-04-13 19:30:00+00:00,30375.4,30380.0,30329.6,30343.8,2511.113
2023-04-13 19:45:00+00:00,30343.9,30358.0,30314.6,30328.0,2600.255
2023-04-13 20:00:00+00:00,30328.0,30346.0,30290.6,30323.1,3692.531
2023-04-13 20:15:00+00:00,30323.0,30323.1,30185.0,30216.8,8818.519
2023-04-13 20:30:00+00:00,30216.9,30255.0,30212.0,30230.5,2556.282
2023-04-13 20:45:00+00:00,30230.6,30284.9,30230.6,30264.4,1248.215
2023-04-13 21:00:00+00:00,30226.3,30266.9,30226.3,30233.0,1928.915
2023-04-13 21:15:00+00:00,30233.0,30271.0,30225.5,30271.0,1740.1660000000002
2023-04-13 21:30:00+00:00,30271.0,30272.0,30247.5,30262.1,1052.664
2023-04-13 21:45:00+00:00,30262.2,30312.0,30262.1,30300.0,1569.314
2023-04-13 22:00:00+00:00,30300.0,30314.5,30264.0,30264.9,1249.132
2023-04-13 22:15:00+00:00,30265.0,30332.4,30264.9,30328.3,2243.483
2023-04-13 22:30:00+00:00,30328.2,30348.0,30305.6,30332.2,1471.655
2023-04-13 22:45:00+00:00,30332.1,30385.2,30310.0,30314.8,3240.375
2023-04-13 23:00:00+00:00,30314.8,30318.9,30272.1,30287.7,2470.723
2023-04-13 23:15:00+00:00,30287.8,30298.9,30262.0,30276.9,1289.98
2023-04-13 23:30:00+00:00,30276.8,30323.4,30273.2,30288.0,1505.498
2023-04-13 23:45:00+00:00,30287.9,30325.6,30273.9,30310.4,1422.063
2023-04-14 00:00:00+00:00,30310.3,30380.0,30310.3,30362.7,3646.122
2023-04-14 00:15:00+00:00,30362.7,30370.3,30334.1,30347.1,2340.624
2023-04-14 00:30:00+00:00,30347.2,30409.8,30293.0,30386.7,4043.53
2023-04-14 00:45:00+00:00,30386.8,30822.8,30364.7,30721.9,42852.661
2023-04-14 01:00:00+00:00,30721.9,30768.1,30641.8,30741.3,12533.362
2023-04-14 01:15:00+00:00,30741.4,30850.0,30704.9,30814.9,12591.341
2023-04-14 01:30:00+00:00,30814.8,30830.0,30681.0,30770.9,8806.14
2023-04-14 01:45:00+00:00,30770.8,30835.4,30722.2,30817.8,8496.297
2023-04-14 02:00:00+00:00,30817.7,30950.0,30750.0,30776.4,12891.74
2023-04-14 02:15:00+00:00,30776.3,30811.7,30711.1,30805.4,6661.243
2023-04-14 02:30:00+00:00,30805.4,30805.4,30730.0,30734.4,2979.766
2023-04-14 02:45:00+00:00,30734.4,30748.0,30622.9,30653.9,5602.112999999999
2023-04-14 03:00:00+00:00,30654.0,30654.0,30516.4,30595.0,10454.909
2023-04-14 03:15:00+00:00,30595.0,30620.5,30548.5,30620.4,3547.474
2023-04-14 03:30:00+00:00,30620.5,30698.4,30620.4,30667.6,4108.666
2023-04-14 03:45:00+00:00,30667.5,30701.8,30633.8,30677.5,3180.304
2023-04-14 04:00:00+00:00,30677.5,30727.2,30670.0,30684.6,2693.456
2023-04-14 04:15:00+00:00,30684.5,30733.3,30682.3,30725.4,2172.211
